stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"38057","38057","Pakenham Rd/Princes Hwy","-38.06671572","145.46816459","","","0","Level 0",""
"38058","38058","Pakenham Secondary College/Princes Hwy","-38.06890629","145.47167556","","","0","Level 0",""
"38061","38061","Atkins Rd/Princes Hwy","-38.07183017","145.48660574","","","0","Level 0",""
"38064","38064","Fountain Gate SC/Overland Dr","-38.01969470","145.30307426","","","0","Level 0","Bay 5"
"38068","38068","Gurdies - St Helier Rd/Bass Hwy","-38.37213010","145.56316720","","","0","Level 0",""
"3819","3819","Penshurst Memorial Hall/Martin St ","-37.87620801","142.29008264","","","0","Level 0",""
"38526","38526","Richardson Oval/Golf Links Rd","-37.26983571","142.91649093","","","0","Level 0",""
"38528","38528","Port Fairy Rd/Churchill Ave","-37.29380703","142.92461921","","","0","Level 0",""
"38529","38529","Lobelia Dr/Churchill Ave","-37.29349235","142.93038639","","","0","Level 0",""
"39001","39001","Willow Pde/Sans Souci Dr","-36.14682299","146.88123648","","","0","Level 0",""
"39002","39002","Brewer Dr/Felltimber Creek Rd","-36.13075440","146.83363831","","","0","Level 0",""
"39003","39003","Iron Way/Oakmont Cct","-36.11747479","146.84070014","","","0","Level 0",""
"39004","39004","Mayfair Dr/Moorefield Park Rd","-36.11340791","146.85425302","","","0","Level 0",""
"39005","39005","Jevington Dr/Avondale Dr","-36.14773541","146.86589483","","","0","Level 0",""
"39008","39008","Armstrong St/Bartlett St","-38.34577739","143.57595916","","","0","Level 0",""
"39009","39009","Noojee General Store/Bennett St","-37.89332712","145.99983464","","","0","Level 0",""
"39010","39010","Noojee Post Office/Bennett Rd","-37.89316249","145.99955254","","","0","Level 0",""
